704.781,569.596,1425.91,838.423,0,0.902851
6.34189,567.848,679.21,683.367,0,0.890461
1107.39,543.376,1445.8,599.546,0,0.443333
330.707,504.852,544.116,521.063,0,0.124136
1.0454,574.692,294.957,609.791,1,0.854019
848.114,569.476,1168.49,634.898,1,0.806394
384,536.331,438.23,575.685,2,0.907046
241.751,509.393,276.918,523.193,2,0.645687
1342.55,597.27,1440.74,675.104,2,0.477008
9.98571,502.116,76.4369,515.689,2,0.229904
1343.51,579.655,1441.65,623.325,2,0.133171
7.73528,515.627,165.621,560.452,2,0.101736
